BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE
3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
1614.834162,0.894070564,1001.078627,592.1246567,409.31521,1033.170142,0.489849389,0.205061541,0.36144404,0.144431544,3.527666667,14.586,4611.650606,1781.229852,825.9452791,0.15384592,11.51666667
2105.645745,0.208599255,2037.200187,1562.89449,874.2983472,2268.304107,0.402040078,0.297227088,0.399080164,0.209398888,7.429825165,23.42584458,3651.955711,2867.27696,1788.061944,0.289388932,1.337280198
0,0,0,0,0,0,0,0,0,0,0,0,150,0.056466,0.05588,0,6
148.3247877,0.909091,33.1,0,0,0,0.083333,0,0,0,0,1,1800,419.0797983,169.2886358,0,12
929.114131,1,375.19,45.65,82.295,0,0.5,0.083333,0.166667,0,0,7,3325,922.211585,316.3509255,0,12
2134.267513,1,1116.3225,600.0025,479.625,1174.177865,0.916667,0.333333,0.75,0.25,4,17,6500,1921.987568,840.721403,0.166667,12
19043.13856,1,49039.57,40761.25,12560.85,47137.21176,1,1,1,1.5,123,308,23000,46930.59824,28483.25483,1,12
