BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,source
1.0,0.3103838730045513,0.19318259518725683,0.18980029349827354,0.11066751668293905,0.52463330449602,-0.08698179534649547,0.06573781696687159,-0.07151382529807784,0.45794532991035514,0.3933994857527823,0.13471809178627353,0.52164734750128,0.3686410982246534,0.4759675602555616,-0.3327104952229687,0.04315140453443624,person
0.3103838730045513,1.0,0.1292496524650005,0.10598444902037213,0.11159740587673922,0.09045425705724347,0.22163874630473854,0.19213379730989064,0.17256974215075185,0.1875989171496331,0.13501066530971179,0.18785833344773312,0.06807955146293647,0.0589826724660114,0.16093698495562914,-0.13917315863038957,0.11339208944512871,person
0.19318259518725683,0.1292496524650005,1.0,0.9152939195703728,0.693798418845773,-0.04297136772414552,0.41251232621127754,0.5085981258670351,0.3429328830372802,-0.13302927734015005,-0.07061774658248057,0.6907945700210716,0.3358132117752536,0.5973647480016823,0.11825370543901666,0.15318243954511054,0.08548799305364604,person
0.18980029349827354,0.10598444902037213,0.9152939195703728,1.0,0.344982925641857,-0.026751425666473254,0.28483260498917756,0.5484037258149854,0.151311312290915,-0.09134420030829524,-0.0514170871141904,0.5303664328423447,0.3090656154514726,0.5443241122240177,0.06919848599125882,0.10394315492806624,0.058538195714564686,person
0.11066751668293905,0.11159740587673922,0.693798418845773,0.344982925641857,1.0,-0.05246591416979233,0.4520608695445959,0.20450844408665073,0.5287013022737884,-0.1467447784047023,-0.07273567487541628,0.6615154845265473,0.22965522820232848,0.41882818305562103,0.151785637868191,0.17091611554421035,0.09447091951924487,person
0.52463330449602,0.09045425705724347,-0.04297136772414552,-0.026751425666473254,-0.05246591416979233,1.0,-0.20374569324934186,-0.06884154262619128,-0.16915458769362832,0.6177613430605092,0.6822191298245431,-0.055726280150006094,0.3154724646954288,0.49839025250656593,0.22108890644398052,-0.15506137886447158,-0.09462713909744541,person
-0.08698179534649547,0.22163874630473854,0.41251232621127754,0.28483260498917756,0.4520608695445959,-0.20374569324934186,1.0,0.5072549453618077,0.8576809831619581,-0.3219004571691182,-0.20050861813503593,0.5936600588033941,0.10606470235977988,0.10950079464252449,0.0038688911812062455,0.3134856447003828,0.09346614420319933,person
0.06573781696687159,0.19213379730989064,0.5085981258670351,0.5484037258149854,0.20450844408665073,-0.06884154262619128,0.5072549453618077,1.0,0.13631378446212616,-0.11210054122568092,-0.05879268155797831,0.556441859366305,0.2726842510753934,0.25643350592758446,-0.006043019834181288,0.17479694349061278,0.07057100525257835,person
-0.07151382529807784,0.17256974215075185,0.3429328830372802,0.151311312290915,0.5287013022737884,-0.16915458769362832,0.8576809831619581,0.13631378446212616,1.0,-0.2742456349605454,-0.1672771358578717,0.5567978454303353,0.04736730261469026,0.0992536785531806,0.02446110975945663,0.24062853806885148,0.10753369615014594,person
0.45794532991035514,0.1875989171496331,-0.13302927734015005,-0.09134420030829524,-0.1467447784047023,0.6177613430605092,-0.3219004571691182,-0.11210054122568092,-0.2742456349605454,1.0,0.7921955377879973,-0.13523445253461616,0.12635070278020843,0.1995603471384722,0.148955163592077,-0.25643928156459683,-0.16445750388819097,person
