price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,source
0.24482083,0.227279687,0.184074671,0.321008082,0.028187311,-0.278289541,0.025125872,0.229977941,0.162181501,0.082800497,-0.178367344,1,-0.180639158,0.056604535,0.117651303,0.116486404,-0.204666183,0.121389301,0.023306683,spearman
0.104434693,0.180479895,0.573381195,0.356623276,-0.035358244,0.55630083,-0.003788954,-0.061707949,-0.393825529,0.505274637,0.476882574,-0.180639158,1,-0.20960771,-0.318672288,-0.129270951,0.413708639,0.34064136,-0.014416777,spearman
0.090441485,0.016918518,0.036393974,0.04325837,-0.006106998,0.010164216,-0.003573118,0.067142792,-0.06925749,0.008203149,0.02277169,0.056604535,-0.20960771,1,0.064488218,0.028116258,-0.073040169,-0.017352883,-0.006025211,spearman
-0.00971742,-0.168202869,-0.207570901,-0.210031735,-0.323156249,-0.063425164,0.030074555,0.078842414,-0.023251691,-0.184178338,-0.282658211,0.117651303,-0.318672288,0.064488218,1,0.250667155,-0.577058803,-0.290979755,-0.329228993,spearman
0.461591516,-0.024997447,0.005179208,0.028404198,-0.121294387,0.021959071,-0.016445299,0.001848569,-0.021310333,0.10137615,-0.029377015,0.116486404,-0.129270951,0.028116258,0.250667155,1,-0.146033546,0.025522469,-0.115371722,spearman
0.065100686,0.190707813,0.264175136,0.287701612,0.377074618,0.150254422,-0.022651653,-0.101596546,-0.084360088,0.22456625,0.389725375,-0.204666183,0.413708639,-0.073040169,-0.577058803,-0.146033546,1,0.384661466,0.37909026,spearman
0.566216403,0.442893906,0.567103117,0.744890815,0.353833057,0.303335408,0.036134633,0.24262874,-0.088754045,0.659439177,0.694058256,0.121389301,0.34064136,-0.017352883,-0.290979755,0.025522469,0.384661466,1,0.360713967,spearman
0.049247599,0.202179641,0.055616857,0.27784204,0.922197757,-0.238488289,0.040290872,0.09158103,0.117574457,0.149191158,0.248660998,0.023306683,-0.014416777,-0.006025211,-0.329228993,-0.115371722,0.37909026,0.360713967,1,spearman
1,0.263404356,0.364355154,0.458569107,0.038112787,0.249128715,0.050213133,0.221213426,0.012901531,0.5240355,0.372682684,0.185094992,0.071939317,0.073216179,-0.010601354,0.296316699,0.040883401,0.400189248,0.029680658,kendall
0.263404356,1,0.436930668,0.521851108,0.164034268,0.199519496,-0.010682791,0.071947468,0.01134586,0.327804637,0.427339443,0.194272383,0.141690592,0.015579449,-0.128557253,-0.018476982,0.143754761,0.345368003,0.153438788,kendall
0.364355154,0.436930668,1,0.584994876,0.043481583,0.451533078,0.02181306,0.122474537,-0.140376368,0.552665948,0.526820496,0.146990467,0.433980666,0.03129979,-0.145490213,0.003214478,0.189294275,0.427313478,0.040266128,kendall
0.458569107,0.521851108,0.584994876,1,0.201423615,0.314698373,0.027551044,0.176070663,-0.051147976,0.582162588,0.694574984,0.261036572,0.247454183,0.0350619,-0.14007155,0.018658392,0.193635301,0.568339187,0.188158852,kendall
0.038112787,0.164034268,0.043481583,0.201423615,1,-0.192877814,0.032276569,0.074898784,0.089605457,0.105776429,0.180963155,0.021955695,-0.003152671,-0.004932806,-0.207489604,-0.08013509,0.262300702,0.240131556,0.791823941,kendall
0.249128715,0.199519496,0.451533078,0.314698373,-0.192877814,1,0.007211359,0.009422172,-0.268439966,0.435248645,0.474773882,-0.241246009,0.420923958,0.009622799,-0.051390314,0.017322269,0.116728772,0.238391725,-0.189552567,kendall
0.050213133,-0.010682791,0.02181306,0.027551044,0.032276569,0.007211359,1,0.14950134,0.004099413,0.035539301,0.017627286,0.022786153,-0.003111717,-0.003538779,0.024767334,-0.013429418,-0.018518761,0.02957344,0.03292431,kendall
0.221213426,0.071947468,0.122474537,0.176070663,0.074898784,0.009422172,0.14950134,1,0.039312683,0.185769323,0.103580176,0.206005779,-0.049898652,0.06550999,0.063964946,0.001476395,-0.082012359,0.19606165,0.07381035,kendall
0.012901531,0.01134586,-0.140376368,-0.051147976,0.089605457,-0.268439966,0.004099413,0.039312683,1,-0.151462453,-0.127924696,0.142585778,-0.319133475,-0.066446488,-0.019230556,-0.016816821,-0.067443013,-0.07073584,0.092351039,kendall
0.5240355,0.327804637,0.552665948,0.582162588,0.105776429,0.435248645,0.035539301,0.185769323,-0.151462453,1,0.577101013,0.07051324,0.390164012,0.007434366,-0.139343101,0.071573804,0.167679203,0.534000397,0.109483064,kendall
0.372682684,0.427339443,0.526820496,0.694574984,0.180963155,0.474773882,0.017627286,0.103580176,-0.127924696,0.577101013,1,-0.127130733,0.335856957,0.018479004,-0.185544274,-0.019624301,0.264075195,0.513087805,0.169091638,kendall
0.185094992,0.194272383,0.146990467,0.261036572,0.021955695,-0.241246009,0.022786153,0.206005779,0.142585778,0.07051324,-0.127130733,1,-0.131788182,0.050847631,0.089982683,0.085828931,-0.149331435,0.096275898,0.01844886,kendall
0.071939317,0.141690592,0.433980666,0.247454183,-0.003152671,0.420923958,-0.003111717,-0.049898652,-0.319133475,0.390164012,0.335856957,-0.131788182,1,-0.170160096,-0.18674748,-0.08583705,0.299150112,0.235943215,0.010886409,kendall
0.073216179,0.015579449,0.03129979,0.0350619,-0.004932806,0.009622799,-0.003538779,0.06550999,-0.066446488,0.007434366,0.018479004,0.050847631,-0.170160096,1,0.052580887,0.022667505,-0.059121965,-0.014062217,-0.004891259,kendall
-0.010601354,-0.128557253,-0.145490213,-0.14007155,-0.207489604,-0.051390314,0.024767334,0.063964946,-0.019230556,-0.139343101,-0.185544274,0.089982683,-0.18674748,0.052580887,1,0.177380381,-0.363598373,-0.193437752,-0.210023003,kendall
0.296316699,-0.018476982,0.003214478,0.018658392,-0.08013509,0.017322269,-0.013429418,0.001476395,-0.016816821,0.071573804,-0.019624301,0.085828931,-0.08583705,0.022667505,0.177380381,1,-0.095981608,0.015871608,-0.075832249,kendall
0.040883401,0.143754761,0.189294275,0.193635301,0.262300702,0.116728772,-0.018518761,-0.082012359,-0.067443013,0.167679203,0.264075195,-0.149331435,0.299150112,-0.059121965,-0.363598373,-0.095981608,1,0.261272742,0.264474202,kendall
0.400189248,0.345368003,0.427313478,0.568339187,0.240131556,0.238391725,0.02957344,0.19606165,-0.07073584,0.534000397,0.513087805,0.096275898,0.235943215,-0.014062217,-0.193437752,0.015871608,0.261272742,1,0.245679685,kendall
0.029680658,0.153438788,0.040266128,0.188158852,0.791823941,-0.189552567,0.03292431,0.07381035,0.092351039,0.109483064,0.169091638,0.01844886,0.010886409,-0.004891259,-0.210023003,-0.075832249,0.264474202,0.245679685,1,kendall
