price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,source
1,0.314334587,0.513137188,0.685958495,0.085622625,0.264934093,0.102764634,0.335418663,0.035120986,0.678424109,0.590056595,0.293719757,0.062761034,0.104981963,-0.05713258,0.33880632,0.026481842,0.595916227,0.070357088,person
0.314334587,1,0.509004312,0.583008029,0.032274909,0.17108364,-0.011943648,0.075726918,0.027088797,0.350661919,0.474821572,0.299027969,0.1555089,0.018889773,-0.155374166,-0.013063383,0.129889465,0.38976761,0.027304957,person
0.513137188,0.509004312,1,0.745494305,0.083335611,0.50580838,0.022352819,0.160261934,-0.131549911,0.656268212,0.67344743,0.259637877,0.51974731,0.041363908,-0.209967135,0.019487384,0.229342623,0.563117425,0.072160287,person
0.685958495,0.583008029,0.745494305,1,0.175292297,0.355665233,0.030368604,0.247435208,-0.063853228,0.756721878,0.870183076,0.40969321,0.333752036,0.039572969,-0.21003243,0.047951101,0.251453883,0.760268035,0.170184556,person
0.085622625,0.032274909,0.083335611,0.175292297,1,-0.012249002,0.00344748,0.054361671,-0.016945331,0.119136297,0.191654217,-0.000605549,0.069867073,-0.001960593,-0.141550661,-0.08408837,0.252804987,0.15855224,0.722492575,person
0.264934093,0.17108364,0.50580838,0.355665233,-0.012249002,1,0.005567359,0.015487796,-0.268061822,0.458501704,0.527886246,-0.258611704,0.494097774,0.004262359,-0.061290062,0.046765664,0.127096784,0.278392597,-0.019342295,person
0.102764634,-0.011943648,0.022352819,0.030368604,0.00344748,0.005567359,1,0.228103281,0.001415559,0.042341521,0.016710877,0.030428564,-0.000463366,-0.003601716,0.030660061,-0.010980555,-0.022320752,0.035314598,0.006379357,person
0.335418663,0.075726918,0.160261934,0.247435208,0.054361671,0.015487796,0.228103281,1,0.040667488,0.228364521,0.129396783,0.260437048,-0.047545041,0.064056337,0.085612427,0.0090138,-0.077276387,0.25872797,0.044743352,person
0.035120986,0.027088797,-0.131549911,-0.063853228,-0.016945331,-0.268061822,0.001415559,0.040667488,1,-0.151247915,-0.166135177,0.178548048,-0.361662938,-0.063214311,0.002419016,-0.01348802,-0.105782536,-0.096940461,-0.006286771,person
0.678424109,0.350661919,0.656268212,0.756721878,0.119136297,0.458501704,0.042341521,0.228364521,-0.151247915,1,0.74907224,0.142316128,0.456413326,0.003409353,-0.191335332,0.110912745,0.203517347,0.709542989,0.112775215,person
